Masse fraiche	Engrais
25.7	Sachets
29.7	Sachets
25.6	Sachets
18	Sachets
14.5	Plagron hydro
17	Plagron hydro
35	Plagron hydro
43.4	Plagron hydro
18.1	Plagron terra
26	Plagron terra
15.3	Plagron terra
36.3	Plagron terra
21.4	Sachets
32.6	Sachets
24.5	Sachets
9.6	Sachets
28.4	Plagron hydro
33.7	Plagron hydro
18.6	Plagron hydro
28.9	Plagron hydro
7.8	Plagron terra
32.6	Plagron terra
19.8	Plagron terra
30.6	Plagron terra
3.7	Plagron hydro
7.8	Plagron hydro
33.1	Plagron hydro
41	Plagron hydro
28.7	Sachets
23.1	Sachets
7	Sachets
10.1	Sachets
3.7	Plagron terra
16.9	Plagron terra
39.1	Plagron terra
42.9	Plagron terra
28.5	Plagron hydro
36.4	Plagron hydro
14.2	Plagron hydro
6.7	Plagron hydro
8.9	Sachets
6.9	Sachets
5.4	Sachets
26.9	Sachets
14.2	Plagron terra
65.7	Plagron terra
17.1	Plagron terra
23.2	Plagron terra
